date,total_purchase_amt,total_redeem_amt,is_weekend,is_holiday,is_firstday_of_holiday,is_lastday_of_holiday,is_work,is_gonna_work_tomorrow,is_worked_yestday,is_premonth,is_tailmonth,is_second_week,is_third_week,weekday_onehot_0,weekday_onehot_1,weekday_onehot_2,weekday_onehot_3,weekday_onehot_4,weekday_onehot_5,weekday_onehot_6,dis_to_nowork,dis_from_nowork,dis_to_work,dis_from_work,dis_to_holiendday,dis_from_holiendday,dis_from_middleofweek,dis_from_endofweek,dis_from_purchase_peak,dis_from_purchase_valley,purchase_weekday_median,purchase_weekday_mean,purchase_weekday_min,purchase_weekday_max,purchase_weekday_std,purchase_weekday_skew
2014-04-11,237829882.0,277077434.0,0,0,0,0,1,0,1,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,4,0,0,10,4,1,2,3,2,303834661.5,306083010.9076923,158219402.0,392838756.0,54123424.8928556,0.3574555076487528
2014-04-12,177642053.0,123295320.0,1,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,2,1,10,5,2,1,4,1,303834661.5,306083010.9076923,158219402.0,392838756.0,54123424.8928556,0.3574555076487528
2014-04-13,208172985.0,178934722.0,1,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,2,10,10,3,0,5,0,303834661.5,306083010.9076923,158219402.0,392838756.0,54123424.8928556,0.3574555076487528
2014-04-14,309853269.0,415986984.0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0,0,10,10,3,6,1,6,303834661.5,306083010.9076923,158219402.0,392838756.0,54123424.8928556,0.3574555076487528
2014-04-15,428681231.0,285293076.0,0,0,0,0,1,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,2,0,0,10,10,2,5,0,5,303834661.5,306083010.9076923,158219402.0,392838756.0,54123424.8928556,0.3574555076487528
2014-04-16,387847838.0,255914640.0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,3,0,0,10,10,1,4,1,4,303834661.5,306083010.9076923,158219402.0,392838756.0,54123424.8928556,0.3574555076487528
2014-04-17,355792647.0,265341592.0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,4,0,0,10,10,0,3,2,3,303834661.5,306083010.9076923,158219402.0,392838756.0,54123424.8928556,0.3574555076487528
2014-04-18,239300383.0,225952909.0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,5,0,0,10,10,1,2,3,2,303834661.5,306083010.9076923,158219402.0,392838756.0,54123424.8928556,0.3574555076487528
2014-04-19,268729366.0,146374940.0,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,2,1,10,10,2,1,4,1,303834661.5,306083010.9076923,158219402.0,392838756.0,54123424.8928556,0.3574555076487528
2014-04-20,191259529.0,161057781.0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,2,10,10,3,0,5,0,303834661.5,306083010.9076923,158219402.0,392838756.0,54123424.8928556,0.3574555076487528
2014-04-21,301134667.0,295635256.0,0,0,0,0,1,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0,0,10,10,3,6,1,6,303834661.5,306083010.9076923,158219402.0,392838756.0,54123424.8928556,0.3574555076487528
2014-04-22,285248757.0,268810141.0,0,0,0,0,1,0,1,0,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,2,0,0,10,10,2,5,0,5,303834661.5,306083010.9076923,158219402.0,392838756.0,54123424.8928556,0.3574555076487528
2014-04-23,313677307.0,278470936.0,0,0,0,0,1,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,3,0,0,10,10,1,4,1,4,303834661.5,306083010.9076923,158219402.0,392838756.0,54123424.8928556,0.3574555076487528
2014-04-24,318358891.0,224536754.0,0,0,0,0,1,0,1,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,4,0,0,10,10,0,3,2,3,303834661.5,306083010.9076923,158219402.0,392838756.0,54123424.8928556,0.3574555076487528
2014-04-25,220927432.0,227764292.0,0,0,0,0,1,0,1,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,5,0,0,10,10,1,2,3,2,303834661.5,306083010.9076923,158219402.0,392838756.0,54123424.8928556,0.3574555076487528
2014-04-26,151625415.0,158122962.0,1,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,2,1,10,10,2,1,4,1,303834661.5,306083010.9076923,158219402.0,392838756.0,54123424.8928556,0.3574555076487528
2014-04-27,146837951.0,191915377.0,1,0,0,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,2,10,10,3,0,5,0,303834661.5,306083010.9076923,158219402.0,392838756.0,54123424.8928556,0.3574555076487528
2014-04-28,324937272.0,327724735.0,0,0,0,0,1,0,0,0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,5,10,3,6,1,6,305493968.0,301702266.0,196936223.0,398884905.0,82638066.50572316,-0.2735051985137244
2014-04-29,330607104.0,307578349.0,0,0,0,0,1,0,1,0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,4,10,2,5,0,5,391725690.0,380505180.5,285248757.0,453320585.0,76068155.92741926,-0.5808426515451505
2014-04-30,260091330.0,281835975.0,0,0,0,0,1,0,1,0,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3,0,0,3,10,1,4,1,4,369347341.5,360054957.0,313677307.0,387847838.0,34098093.7360348,-1.1056688796415934
2014-05-01,193045106.0,143362755.0,0,1,1,0,0,0,1,1,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,3,1,2,10,0,3,2,3,359834883.5,356149029.5,318358891.0,386567460.0,28362098.37791161,-0.741065409624599
2014-05-02,125336258.0,121222064.0,0,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,2,1,10,1,2,3,2,238565132.5,237488397.75,220927432.0,251895894.0,12717985.12351246,-0.5008558503381967
2014-05-03,185094488.0,199568043.0,1,1,0,1,0,1,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,3,0,0,2,1,4,1,189989297.5,200083344.0,151625415.0,268729366.0,50229923.55945942,1.043675873628544
2014-05-04,303087562.0,413222034.0,1,0,0,0,1,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,1,0,0,10,1,3,0,5,0,169048740.0,168936929.75,129477254.0,208172985.0,36892625.01252901,-0.0093961251215486
2014-05-05,370924149.0,309330781.0,0,0,0,0,1,0,1,1,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,0,0,10,2,3,6,1,6,309853269.0,306349267.2,196936223.0,398884905.0,72317083.92639497,-0.5630989925386516
2014-05-06,318002728.0,341108696.0,0,0,0,0,1,0,1,1,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,3,0,0,10,3,2,5,0,5,354770149.0,370525565.2,285248757.0,453320585.0,69553841.49943553,0.0948332706972503
2014-05-07,417327518.0,239372999.0,0,0,0,0,1,0,1,1,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,4,0,0,10,4,1,4,1,4,355347118.0,340062231.6,260091330.0,387847838.0,53577563.79234303,-0.9103477309723996
2014-05-08,392838756.0,273187499.0,0,0,0,0,1,0,1,1,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,5,0,0,10,5,0,3,2,3,355792647.0,323528244.8,193045106.0,386567460.0,76966774.91305922,-1.71068251929185
2014-05-09,281479009.0,247743971.0,0,0,0,0,1,0,1,1,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,6,0,0,10,10,1,2,3,2,237829882.0,215057969.8,125336258.0,251895894.0,51351054.99697274,-1.9878338064060732
2014-05-10,287240171.0,147248328.0,1,0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,2,1,10,10,2,1,4,1,185094488.0,197085572.8,151625415.0,268729366.0,44013828.24101535,1.2942910489574135
2014-05-11,182424063.0,152945581.0,1,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,2,10,10,3,0,5,0,191259529.0,195767056.2,129477254.0,303087562.0,67971153.89524633,1.100555677953029
2014-05-12,325108597.0,293952908.0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0,0,10,10,3,6,1,6,317395270.5,317111747.5,196936223.0,398884905.0,69848367.16302773,-0.9128658238184538
2014-05-13,275241493.0,257918375.0,0,0,0,0,1,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,2,0,0,10,10,2,5,0,5,342688626.5,361771759.0,285248757.0,453320585.0,65802463.7212455,0.5309565970470278
2014-05-14,305474522.0,316225442.0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,3,0,0,10,10,1,4,1,4,369347341.5,352939779.3333333,260091330.0,417327518.0,57371000.403372265,-0.8314507724749902
2014-05-15,313367089.0,238307643.0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,4,0,0,10,10,0,3,2,3,359834883.5,335079996.6666667,193045106.0,392838756.0,74429600.15711652,-1.8248788836533296
2014-05-16,231967423.0,282094916.0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,5,0,0,10,10,1,2,3,2,238565132.5,226128143.0,125336258.0,281479009.0,53337014.235047735,-1.6479560906159425
2014-05-17,170983868.0,145854372.0,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,2,1,10,10,2,1,4,1,193715515.0,212111339.16666663,151625415.0,287240171.0,53892630.20652812,0.6183915895748
2014-05-18,164419642.0,153440019.0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,2,10,10,3,0,5,0,186841796.0,193543224.0,129477254.0,303087562.0,61038797.39480086,1.2551118701864377
2014-05-19,259077930.0,293791406.0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0,0,10,10,3,6,1,6,324937272.0,318254154.5714286,196936223.0,398884905.0,63834141.75451534,-1.0049069757543814
2014-05-20,453955303.0,260040720.0,0,0,0,0,1,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,2,0,0,10,10,2,5,0,5,330607104.0,349410292.4285714,275241493.0,453320585.0,68395500.70775133,0.6639888075349045
2014-05-21,297799722.0,250223726.0,0,0,0,0,1,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,3,0,0,10,10,1,4,1,4,355347118.0,346159028.28571427,260091330.0,417327518.0,55359821.46639948,-0.3493860558550178
2014-05-22,344636549.0,251108485.0,0,0,0,0,1,0,1,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,4,0,0,10,10,0,3,2,3,355792647.0,331978152.71428573,193045106.0,392838756.0,68438448.26526964,-1.6426284670909927
2014-05-23,249546195.0,229000787.0,0,0,0,0,1,0,1,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,5,0,0,10,10,1,2,3,2,237829882.0,226962325.85714287,125336258.0,281479009.0,48739805.08987284,-1.751206216481125
2014-05-24,160073254.0,154409868.0,1,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,2,1,10,10,2,1,4,1,185094488.0,206235986.14285716,151625415.0,287240171.0,51594425.45044994,0.9106538055679804
2014-05-25,166943526.0,231004758.0,1,0,0,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,2,10,10,3,0,5,0,182424063.0,189382712.2857143,129477254.0,303087562.0,56797429.46274873,1.4884712969546203
2014-05-26,344890868.0,274707572.0,0,0,0,0,1,0,0,0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0,0,10,10,3,6,1,6,317395270.5,310857126.5,196936223.0,398884905.0,62692997.195432425,-0.551678819484913
2014-05-27,299049555.0,321965845.0,0,0,0,0,1,0,1,0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,2,0,0,10,10,2,5,0,5,342688626.5,362478418.75,275241493.0,453955303.0,73320352.790576,0.270595201418614
2014-05-28,276134813.0,415891684.0,0,0,0,0,1,0,1,0,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,3,0,0,5,10,1,4,1,4,334512212.5,340114115.0,260091330.0,417327518.0,54029824.68458751,0.0062821533566913
2014-05-29,320549863.0,313827800.0,0,0,0,0,1,0,1,0,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,4,0,0,4,10,0,3,2,3,350214598.0,333560452.25,193045106.0,392838756.0,63519550.22747872,-1.7753447525780337
2014-05-30,226547701.0,312802179.0,0,0,0,0,1,0,1,0,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,5,0,0,3,10,1,2,3,2,238565132.5,229785309.5,125336258.0,281479009.0,45825271.96314239,-1.9440053170813507
2014-05-31,146823669.0,142862063.0,1,1,1,0,0,0,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,3,1,2,10,2,1,4,1,181368270.5,200465644.625,151625415.0,287240171.0,50478469.99945868,1.1076415630468592
2014-06-01,183489775.0,149829253.0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,2,2,1,10,3,0,5,0,174683794.5,186577814.0,129477254.0,303087562.0,53179299.688446,1.677234228186109
2014-06-02,158219402.0,170409506.0,0,1,0,1,0,1,0,1,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,3,0,0,3,6,1,6,324937272.0,314638653.3333333,196936223.0,398884905.0,59731146.957840726,-0.7530438844860032
2014-06-03,270887462.0,385622582.0,0,0,0,0,1,0,0,1,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,10,1,2,5,0,5,330607104.0,355430767.2222222,275241493.0,453955303.0,71769871.08237416,0.5126267282069867
2014-06-04,274460744.0,303978838.0,0,0,0,0,1,0,1,1,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,2,0,0,10,2,1,4,1,4,313677307.0,333005303.6666667,260091330.0,417327518.0,54855592.22333408,0.253082706150688
2014-06-05,380042567.0,355645445.0,0,0,0,0,1,0,1,1,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,3,0,0,10,3,0,3,2,3,344636549.0,332114831.2222222,193045106.0,392838756.0,59575162.48292674,-1.7236697262995948
2014-06-06,301413900.0,274862067.0,0,0,0,0,1,0,1,1,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,4,0,0,10,4,1,2,3,2,237829882.0,229425575.2222222,125336258.0,281479009.0,42879199.91603672,-1.9698116722047905
2014-06-07,187801995.0,146203577.0,1,0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,2,1,10,5,2,1,4,1,177642053.0,194505425.1111111,146823669.0,287240171.0,50490438.61647615,1.1988832020819007
2014-06-08,302171269.0,169525332.0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,2,10,10,3,0,5,0,182424063.0,186234698.55555555,129477254.0,303087562.0,49755328.65742428,1.7544529285911787
2014-06-09,366114374.0,287520152.0,0,0,0,0,1,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0,0,10,10,3,6,1,6,317395270.5,298996728.2,158219402.0,398884905.0,74953884.56622717,-0.7964264730104494
2014-06-10,354031597.0,298190025.0,0,0,0,0,1,0,1,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,2,0,0,10,10,2,5,0,5,324304916.0,346976436.7,270887462.0,453955303.0,72755395.80872099,0.6452617279803605
2014-06-11,327661453.0,246127540.0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,3,0,0,10,10,1,4,1,4,309575914.5,327150847.7,260091330.0,417327518.0,54932086.257375,0.4510118886988308
2014-06-12,332365185.0,236467885.0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,4,0,0,10,10,0,3,2,3,350214598.0,336907604.8,193045106.0,392838756.0,58176895.90096266,-1.831654730702108
2014-06-13,216923770.0,386799040.0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,5,0,0,10,10,1,2,3,2,238565132.5,236624407.7,125336258.0,301413900.0,46395753.27476437,-1.412046974347735
2014-06-14,181574530.0,229916191.0,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,2,1,10,10,2,1,4,1,181368270.5,193835082.1,146823669.0,287240171.0,47650017.50168999,1.284989316656476
2014-06-15,166080126.0,116623756.0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,2,10,10,3,0,5,0,182956919.0,197828355.6,129477254.0,303087562.0,59537011.2416023,1.1700188047078637
2014-06-16,387308484.0,492349489.0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0,0,10,10,3,6,1,6,324937272.0,305098332.3636364,158219402.0,398884905.0,73931060.03214973,-0.942268575152882
2014-06-17,270350693.0,502560223.0,0,0,0,0,1,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,2,0,0,10,10,2,5,0,5,330607104.0,347617814.90909094,270887462.0,453955303.0,69054600.74052526,0.6301776990617104
2014-06-18,335262709.0,421920230.0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,3,0,0,10,10,1,4,1,4,313677307.0,327197266.3636364,260091330.0,417327518.0,52113380.16425907,0.4615716840847296
2014-06-19,338609087.0,284956260.0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,4,0,0,10,10,0,3,2,3,344636549.0,336494657.54545456,193045106.0,392838756.0,55208440.24956423,-1.8587276164546984
2014-06-20,251582530.0,286583065.0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,5,0,0,10,10,1,2,3,2,237829882.0,234833440.63636363,125336258.0,301413900.0,44413877.594653465,-1.2792021490923082
2014-06-21,177999186.0,231003775.0,1,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,2,1,10,10,2,1,4,1,181574530.0,192720486.45454547,146823669.0,287240171.0,45355675.599661775,1.398935101936739
2014-06-22,147180819.0,361285652.0,1,0,0,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,2,10,10,3,0,5,0,182424063.0,194942152.9090909,129477254.0,303087562.0,57287188.46764546,1.319850315268246
2014-06-23,232227670.0,373779624.0,0,0,0,0,1,0,0,0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0,0,10,10,3,6,1,6,325022934.5,311949178.3333333,158219402.0,398884905.0,74378220.37082498,-1.0112594732138274
2014-06-24,245450766.0,428471509.0,0,0,0,0,1,0,1,0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,2,0,0,10,10,2,5,0,5,324304916.0,341178888.0833333,270350693.0,453955303.0,69516557.621148,0.736022936522845
2014-06-25,264663201.0,547295931.0,0,0,0,0,1,0,1,0,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,3,0,0,10,10,1,4,1,4,320669380.0,327869386.5833333,260091330.0,417327518.0,49742678.16316805,0.425556330114598
2014-06-26,297628039.0,418742109.0,0,0,0,0,1,0,1,0,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,4,0,0,10,10,0,3,2,3,341622818.0,336670860.0,193045106.0,392838756.0,52642721.15113302,-1.9256621373218608
2014-06-27,264282703.0,399444352.0,0,0,0,0,1,0,1,0,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,5,0,0,10,10,1,2,3,2,238565132.5,236229198.0833333,125336258.0,301413900.0,42622102.20299752,-1.403216572033971
2014-06-28,153826161.0,283400236.0,1,0,0,0,0,0,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,2,1,10,10,2,1,4,1,179786858.0,191493711.41666663,146823669.0,287240171.0,43453245.56783867,1.517344111508568
2014-06-29,158801540.0,261170799.0,1,0,0,0,0,1,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,2,10,10,3,0,5,0,174683794.5,190962041.75,129477254.0,303087562.0,56334447.09459128,1.4271612551722814
2014-06-30,334054112.0,456547794.0,0,0,0,0,1,0,0,0,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0,0,10,10,3,6,1,6,324937272.0,305816754.61538464,158219402.0,398884905.0,74565379.11080047,-0.7341476380265158
2014-07-01,384428753.0,374164541.0,0,0,0,0,1,0,1,1,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,2,0,0,10,10,2,5,0,5,318002728.0,333815186.38461536,245450766.0,453955303.0,71657187.14874302,0.7376021245169833
2014-07-02,384555819.0,328950951.0,0,0,0,0,1,0,1,1,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,3,0,0,10,10,1,4,1,4,313677307.0,323007372.3076923,260091330.0,417327518.0,50748880.82400559,0.5123112538508102
2014-07-03,297894643.0,289009780.0,0,0,0,0,1,0,1,1,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,4,0,0,10,10,0,3,2,3,338609087.0,333667566.0769231,193045106.0,392838756.0,51551674.55794913,-1.6871539279562422
2014-07-04,211649838.0,264494550.0,0,0,0,0,1,0,1,1,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,5,0,0,10,10,1,2,3,2,239300383.0,238387160.0,125336258.0,301413900.0,41542689.18945575,-1.5221489488959936
2014-07-05,169383796.0,272535138.0,1,0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,2,1,10,10,2,1,4,1,177999186.0,188596207.53846157,146823669.0,287240171.0,42894961.37382682,1.5972061817900285
2014-07-06,199569025.0,195530758.0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,2,10,10,3,0,5,0,166943526.0,188488157.0,129477254.0,303087562.0,54668703.51030104,1.5503153900230844
2014-07-07,272182847.0,317612569.0,0,0,0,0,1,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0,0,10,10,3,6,1,6,325022934.5,307833708.71428573,158219402.0,398884905.0,72036499.31783846,-0.8345633237835876
2014-07-08,224240103.0,340453063.0,0,0,0,0,1,0,1,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,2,0,0,10,10,2,5,0,5,324304916.0,337430441.14285713,245450766.0,453955303.0,70162329.26843067,0.5691901062299703
2014-07-09,278005555.0,269642881.0,0,0,0,0,1,0,1,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,3,0,0,10,10,1,4,1,4,320669380.0,327403689.9285714,260091330.0,417327518.0,51457982.58188921,0.3015652747784386
2014-07-10,283095921.0,326009240.0,0,0,0,0,1,0,1,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,4,0,0,10,10,0,3,2,3,335487136.0,331112357.28571427,193045106.0,392838756.0,50443568.26782431,-1.4955184949774452
