date,total_purchase_amt,total_redeem_amt,is_weekend,is_holiday,is_firstday_of_holiday,is_lastday_of_holiday,is_firstday_of_work,is_work,is_gonna_work_tomorrow,is_secday_of_month,is_midmonth,is_tailmonth,weekday_onehot_0,weekday_onehot_1,weekday_onehot_2,weekday_onehot_5,weekday_onehot_6,dis_to_nowork,dis_from_nowork,dis_to_work,dis_from_work,dis_from_holiday,dis_to_holiendday,dis_from_endofweek,dis_from_redeem_peak,dis_from_redeem_valley,redeem_weekday_median,redeem_weekday_mean,redeem_weekday_min,redeem_weekday_max,redeem_weekday_skew
2014-04-18,239300383.0,225952909.0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1,5,0,0,10,10,2,3,2,273187499.0,273925780.3076923,143362755.0,413222034.0,0.87436206726777
2014-04-19,268729366.0,146374940.0,1,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0,0,2,1,10,10,1,4,1,273187499.0,273925780.3076923,143362755.0,413222034.0,0.87436206726777
2014-04-20,191259529.0,161057781.0,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0,0,1,2,10,10,0,5,0,273187499.0,273925780.3076923,143362755.0,413222034.0,0.87436206726777
2014-04-21,301134667.0,295635256.0,0,0,0,0,0,1,0,0,0,1,1.0,0.0,0.0,0.0,0.0,5,1,0,0,10,10,6,1,6,273187499.0,273925780.3076923,143362755.0,413222034.0,0.87436206726777
2014-04-22,285248757.0,268810141.0,0,0,0,0,0,1,0,0,0,1,0.0,1.0,0.0,0.0,0.0,4,2,0,0,10,10,5,0,5,273187499.0,273925780.3076923,143362755.0,413222034.0,0.87436206726777
2014-04-23,313677307.0,278470936.0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,1.0,0.0,0.0,3,3,0,0,10,10,4,1,4,273187499.0,273925780.3076923,143362755.0,413222034.0,0.87436206726777
2014-04-24,318358891.0,224536754.0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2,4,0,0,10,10,3,2,3,273187499.0,273925780.3076923,143362755.0,413222034.0,0.87436206726777
2014-04-25,220927432.0,227764292.0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1,5,0,0,10,10,2,3,2,273187499.0,273925780.3076923,143362755.0,413222034.0,0.87436206726777
2014-04-26,151625415.0,158122962.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0,0,2,1,10,10,1,4,1,273187499.0,273925780.3076923,143362755.0,413222034.0,0.87436206726777
2014-04-27,146837951.0,191915377.0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,1.0,0,0,1,2,10,10,0,5,0,273187499.0,273925780.3076923,143362755.0,413222034.0,0.87436206726777
2014-04-28,324937272.0,327724735.0,0,0,0,0,0,1,0,0,0,1,1.0,0.0,0.0,0.0,0.0,3,1,0,0,10,5,6,1,6,355811120.0,328110358.75,176966561.0,423852634.0,-0.8119538358844751
2014-04-29,330607104.0,307578349.0,0,0,0,0,0,1,0,0,0,1,0.0,1.0,0.0,0.0,0.0,2,2,0,0,10,4,5,0,5,273119749.5,270386926.5,250015131.0,285293076.0,-0.9182704252399188
2014-04-30,260091330.0,281835975.0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,1.0,0.0,0.0,1,3,0,0,10,3,4,1,4,275541501.0,274081980.0,255914640.0,289330278.0,-0.5816036789800261
2014-05-01,193045106.0,143362755.0,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3,1,0,2,3,2,3,265973524.5,260849666.75,224536754.0,286914864.0,-1.1145823874770278
2014-05-02,125336258.0,121222064.0,0,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2,2,0,1,2,3,2,226858600.5,232746818.0,200192637.0,277077434.0,1.0493305713989116
2014-05-03,185094488.0,199568043.0,1,1,0,1,0,0,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0,1,3,0,0,1,4,1,152248951.0,147748226.0,123295320.0,163199682.0,-1.1685504091681214
2014-05-04,303087562.0,413222034.0,1,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,6,1,0,0,1,10,0,5,0,169996251.5,167871140.75,139576683.0,191915377.0,-0.4389121163494484
2014-05-05,370924149.0,309330781.0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,5,2,0,0,2,10,6,1,6,327724735.0,328033234.0,176966561.0,423852634.0,-0.7774807451488217
2014-05-06,318002728.0,341108696.0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,4,3,0,0,3,10,5,0,5,277429358.0,277825211.0,250015131.0,307578349.0,0.197729101547306
2014-05-07,417327518.0,239372999.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,3,4,0,0,4,10,4,1,4,278470936.0,275632779.0,255914640.0,289330278.0,-1.0199536957010376
2014-05-08,392838756.0,273187499.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,5,0,0,5,10,3,2,3,265341592.0,237352284.4,143362755.0,286914864.0,-1.4765584494694637
2014-05-09,281479009.0,247743971.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,6,0,0,10,10,2,3,2,225952909.0,210441867.2,121222064.0,277077434.0,-0.9092483632918223
2014-05-10,287240171.0,147248328.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0,2,1,10,10,1,4,1,158122962.0,158112189.4,123295320.0,199568043.0,0.5335807791077543
2014-05-11,182424063.0,152945581.0,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0,0,1,2,10,10,0,5,0,178934722.0,216941319.4,139576683.0,413222034.0,2.0616122382511657
2014-05-12,325108597.0,293952908.0,0,0,0,0,0,1,0,0,1,0,1.0,0.0,0.0,0.0,0.0,5,1,0,0,10,10,6,1,6,318527758.0,324916158.5,176966561.0,423852634.0,-0.6218247546379879
2014-05-13,275241493.0,257918375.0,0,0,0,0,0,1,0,0,1,0,0.0,1.0,0.0,0.0,0.0,4,2,0,0,10,10,5,0,5,281361217.0,288372458.5,250015131.0,341108696.0,0.8070258788244989
2014-05-14,305474522.0,316225442.0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,1.0,0.0,0.0,3,3,0,0,10,10,4,1,4,275541501.0,269589482.3333333,239372999.0,289330278.0,-0.9288727817943552
2014-05-15,313367089.0,238307643.0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2,4,0,0,10,10,3,2,3,265973524.5,243324820.16666663,143362755.0,286914864.0,-1.7365455286360418
2014-05-16,231967423.0,282094916.0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1,5,0,0,10,10,2,3,2,226858600.5,216658884.5,121222064.0,277077434.0,-1.2301127155032197
2014-05-17,170983868.0,145854372.0,1,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0,0,2,1,10,10,1,4,1,152685645.0,156301545.83333334,123295320.0,199568043.0,0.8115495021125835
2014-05-18,164419642.0,153440019.0,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0,0,1,2,10,10,0,5,0,169996251.5,206275363.0,139576683.0,413222034.0,2.2736311162448466
2014-05-19,259077930.0,293791406.0,0,0,0,0,0,1,0,0,1,0,1.0,0.0,0.0,0.0,0.0,5,1,0,0,10,10,6,1,6,309330781.0,320492837.0,176966561.0,423852634.0,-0.4064686703258835
2014-05-20,453955303.0,260040720.0,0,0,0,0,0,1,0,0,1,0,0.0,1.0,0.0,0.0,0.0,4,2,0,0,10,10,5,0,5,277429358.0,284021875.14285713,250015131.0,341108696.0,1.0382795559507048
2014-05-21,297799722.0,250223726.0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,1.0,0.0,0.0,3,3,0,0,10,10,4,1,4,278470936.0,276251762.28571427,239372999.0,316225442.0,0.1223332517314888
2014-05-22,344636549.0,251108485.0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2,4,0,0,10,10,3,2,3,265341592.0,242608080.57142857,143362755.0,286914864.0,-1.7097626306526297
2014-05-23,249546195.0,229000787.0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1,5,0,0,10,10,2,3,2,227764292.0,226006889.0,121222064.0,282094916.0,-1.2164542466610129
2014-05-24,160073254.0,154409868.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0,0,2,1,10,10,1,4,1,147248328.0,154809092.42857143,123295320.0,199568043.0,1.0420682418912073
2014-05-25,166943526.0,231004758.0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,1.0,0,0,1,2,10,10,0,5,0,161057781.0,198727456.7142857,139576683.0,413222034.0,2.467622883930291
2014-05-26,344890868.0,274707572.0,0,0,0,0,0,1,0,0,0,1,1.0,0.0,0.0,0.0,0.0,5,1,0,0,10,10,6,1,6,302483018.5,317155158.125,176966561.0,423852634.0,-0.2452117687072846
2014-05-27,299049555.0,321965845.0,0,0,0,0,0,1,0,0,0,1,0.0,1.0,0.0,0.0,0.0,4,2,0,0,10,10,5,0,5,273119749.5,281024230.75,250015131.0,341108696.0,1.2479267577701576
2014-05-28,276134813.0,415891684.0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,1.0,0.0,0.0,3,3,0,0,10,5,4,1,4,275541501.0,272998257.75,239372999.0,316225442.0,0.4061487829251536
2014-05-29,320549863.0,313827800.0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2,4,0,0,10,4,3,2,3,258225038.5,243670631.125,143362755.0,286914864.0,-1.8400707033279768
2014-05-30,226547701.0,312802179.0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1,5,0,0,10,3,2,3,2,228382539.5,226381126.25,121222064.0,282094916.0,-1.2801070802087997
2014-05-31,146823669.0,142862063.0,1,1,1,0,0,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0,0,3,1,0,2,1,4,1,150829098.0,154759189.375,123295320.0,199568043.0,1.0811070723208456
2014-06-01,183489775.0,149829253.0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,2,2,0,1,0,5,0,169996251.5,202762119.375,139576683.0,413222034.0,2.306101305879782
2014-06-02,158219402.0,170409506.0,0,1,0,1,0,0,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0,0,1,3,0,0,6,1,6,295635256.0,312438759.6666667,176966561.0,423852634.0,-0.0238324992823077
2014-06-03,270887462.0,385622582.0,0,0,0,0,1,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,4,1,0,0,1,10,5,0,5,277429358.0,285573299.0,250015131.0,341108696.0,0.7331282904977887
2014-06-04,274460744.0,303978838.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,3,2,0,0,2,10,4,1,4,278470936.0,288875305.1111111,239372999.0,415891684.0,2.0144743819917506
2014-06-05,380042567.0,355645445.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,3,0,0,3,10,3,2,3,265341592.0,251465872.1111111,143362755.0,313827800.0,-1.404579816545902
2014-06-06,301413900.0,274862067.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,4,0,0,4,10,2,3,2,229000787.0,235983465.44444445,121222064.0,312802179.0,-0.8871314120940517
2014-06-07,187801995.0,146203577.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0,2,1,5,10,1,4,1,147248328.0,153437286.44444445,123295320.0,199568043.0,1.2699472732687531
2014-06-08,302171269.0,169525332.0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,1,2,10,10,0,5,0,161057781.0,196880689.7777778,139576683.0,413222034.0,2.455235827111108
2014-06-09,366114374.0,287520152.0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,5,1,0,0,10,10,6,1,6,294794082.0,298235834.3,170409506.0,423852634.0,-0.0587236870268737
2014-06-10,354031597.0,298190025.0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,4,2,0,0,10,10,5,0,5,281361217.0,295578227.3,250015131.0,385622582.0,1.0646902596533443
2014-06-11,327661453.0,246127540.0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,1.0,0.0,0.0,3,3,0,0,10,10,4,1,4,280153455.5,290385658.4,239372999.0,415891684.0,1.9396068859796936
2014-06-12,332365185.0,236467885.0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2,4,0,0,10,10,3,2,3,265973524.5,261883829.4,143362755.0,355645445.0,-0.5876060972692908
2014-06-13,216923770.0,386799040.0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1,5,0,0,10,10,2,3,2,238372379.0,239871325.6,121222064.0,312802179.0,-1.063114492481803
2014-06-14,181574530.0,229916191.0,1,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0,0,2,1,10,10,1,4,1,146811634.0,152713915.5,123295320.0,199568043.0,1.414370712534047
2014-06-15,166080126.0,116623756.0,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0,0,1,2,10,10,0,5,0,165291556.5,194145154.0,139576683.0,413222034.0,2.609877606458729
2014-06-16,387308484.0,492349489.0,0,0,0,0,0,1,0,0,1,0,1.0,0.0,0.0,0.0,0.0,5,1,0,0,10,10,6,1,6,293952908.0,297261681.3636364,170409506.0,423852634.0,-0.015453009706392
2014-06-17,270350693.0,502560223.0,0,0,0,0,0,1,0,0,1,0,0.0,1.0,0.0,0.0,0.0,4,2,0,0,10,10,5,0,5,285293076.0,295815663.45454544,250015131.0,385622582.0,1.075616067199083
2014-06-18,335262709.0,421920230.0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,1.0,0.0,0.0,3,3,0,0,10,10,4,1,4,278470936.0,286362193.09090906,239372999.0,415891684.0,1.995140291846627
2014-06-19,338609087.0,284956260.0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2,4,0,0,10,10,3,2,3,265341592.0,259573289.0,143362755.0,355645445.0,-0.442691052356081
2014-06-20,251582530.0,286583065.0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1,5,0,0,10,10,2,3,2,247743971.0,253228390.54545453,121222064.0,386799040.0,0.0563568481079104
2014-06-21,177999186.0,231003775.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0,0,2,1,10,10,1,4,1,147248328.0,159732304.1818182,123295320.0,229916191.0,1.5994415054700948
2014-06-22,147180819.0,361285652.0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,1.0,0,0,1,2,10,10,0,5,0,161057781.0,187097754.1818182,116623756.0,413222034.0,2.571020957026152
2014-06-23,232227670.0,373779624.0,0,0,0,0,0,1,0,0,0,1,1.0,0.0,0.0,0.0,0.0,5,1,0,0,10,10,6,1,6,294794082.0,313518998.6666667,170409506.0,492349489.0,0.3367243401763992
2014-06-24,245450766.0,428471509.0,0,0,0,0,0,1,0,0,0,1,0.0,1.0,0.0,0.0,0.0,4,2,0,0,10,10,5,0,5,291741550.5,313044376.75,250015131.0,502560223.0,1.9425348972338332
2014-06-25,264663201.0,547295931.0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,1.0,0.0,0.0,3,3,0,0,10,10,4,1,4,280153455.5,297658696.1666667,239372999.0,421920230.0,1.4469628557576997
2014-06-26,297628039.0,418742109.0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2,4,0,0,10,10,3,2,3,265973524.5,261688536.5833333,143362755.0,355645445.0,-0.5764266687584472
2014-06-27,264282703.0,399444352.0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1,5,0,0,10,10,2,3,2,261303019.0,256007946.75,121222064.0,386799040.0,-0.0831082963182536
2014-06-28,153826161.0,283400236.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0,0,2,1,10,10,1,4,1,150829098.0,165671593.41666666,123295320.0,231003775.0,1.1742084404225512
2014-06-29,158801540.0,261170799.0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,1.0,0,0,1,2,10,10,0,5,0,165291556.5,201613412.3333333,116623756.0,413222034.0,1.721575956855053
2014-06-30,334054112.0,456547794.0,0,0,0,0,0,1,0,0,0,1,1.0,0.0,0.0,0.0,0.0,5,1,0,0,10,10,6,1,6,295635256.0,318154431.38461536,170409506.0,492349489.0,0.1776334031823761
2014-07-01,384428753.0,374164541.0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,4,2,0,0,10,10,5,0,5,298190025.0,321923386.9230769,250015131.0,502560223.0,1.4172024445437983
2014-07-02,384555819.0,328950951.0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,3,3,0,0,10,10,4,1,4,281835975.0,316861560.38461536,239372999.0,547295931.0,1.6923392321964223
2014-07-03,297894643.0,289009780.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,4,0,0,10,10,3,2,3,266605457.0,273769580.61538464,143362755.0,418742109.0,0.4163050046602828
2014-07-04,211649838.0,264494550.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,5,0,0,10,10,2,3,2,274862067.0,267041516.3846154,121222064.0,399444352.0,0.1355520953660353
2014-07-05,169383796.0,272535138.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0,2,1,10,10,1,4,1,154409868.0,174727642.84615386,123295320.0,283400236.0,1.3141716250835822
2014-07-06,199569025.0,195530758.0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,1,2,10,10,0,5,0,169525332.0,206194749.7692308,116623756.0,413222034.0,1.5285593832755624
2014-07-07,272182847.0,317612569.0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,5,1,0,0,10,10,6,1,6,302483018.5,328039671.5714286,170409506.0,492349489.0,0.0527052490356338
2014-07-08,224240103.0,340453063.0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,4,2,0,0,10,10,5,0,5,302884187.0,325654897.9285714,250015131.0,502560223.0,1.2336308654427746
2014-07-09,278005555.0,269642881.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,3,3,0,0,10,10,4,1,4,285583126.5,317725088.28571427,239372999.0,547295931.0,1.7008531408987486
2014-07-10,283095921.0,326009240.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,4,0,0,10,10,3,2,3,269896478.0,274858166.28571427,143362755.0,418742109.0,0.3664241434776866
2014-07-11,208671021.0,240050748.0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1,5,0,0,10,10,2,3,2,269678308.5,266859590.2142857,121222064.0,399444352.0,0.1482236728187491
2014-07-12,177644343.0,149081488.0,1,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0,0,2,1,10,10,1,4,1,156266415.0,181713892.5,123295320.0,283400236.0,0.99586166666463
2014-07-13,179759885.0,199459990.0,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0,0,1,2,10,10,0,5,0,174230027.0,205433036.07142857,116623756.0,413222034.0,1.5988085379198995
2014-07-14,254797524.0,284753279.0,0,0,0,0,0,1,0,0,1,0,1.0,0.0,0.0,0.0,0.0,5,1,0,0,10,10,6,1,6,309330781.0,327344531.4,170409506.0,492349489.0,0.080058053817747
2014-07-15,334810012.0,261722182.0,0,0,0,0,0,1,0,0,1,0,0.0,1.0,0.0,0.0,0.0,4,2,0,0,10,10,5,0,5,307578349.0,326641442.26666665,250015131.0,502560223.0,1.2135122735300374
2014-07-16,394890140.0,234775948.0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,1.0,0.0,0.0,3,3,0,0,10,10,4,1,4,281835975.0,314519607.8,239372999.0,547295931.0,1.805770460626535
2014-07-17,253011280.0,298279385.0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2,4,0,0,10,10,3,2,3,273187499.0,278268237.8666667,143362755.0,418742109.0,0.2075751619382529
2014-07-18,208959595.0,208671287.0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1,5,0,0,10,10,2,3,2,264494550.0,265072334.06666663,121222064.0,399444352.0,0.2349308174472983
2014-07-19,210318023.0,155464283.0,1,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0,0,2,1,10,10,1,4,1,154409868.0,179538398.86666667,123295320.0,283400236.0,1.1067037071138577
2014-07-20,176449304.0,174462836.0,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0,0,1,2,10,10,0,5,0,178934722.0,205034833.0,116623756.0,413222034.0,1.6566694169124063
2014-07-21,378088594.0,434191479.0,0,0,0,0,0,1,0,0,0,1,1.0,0.0,0.0,0.0,0.0,5,1,0,0,10,10,6,1,6,302483018.5,324682578.125,170409506.0,492349489.0,0.1741195903795934
2014-07-22,243084133.0,369043423.0,0,0,0,0,0,1,0,0,0,1,0.0,1.0,0.0,0.0,0.0,4,2,0,0,10,10,5,0,5,302884187.0,322583988.5,250015131.0,502560223.0,1.2852580657828454
2014-07-23,265461894.0,308353077.0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,1.0,0.0,0.0,3,3,0,0,10,10,4,1,4,280153455.5,309535629.0625,234775948.0,547295931.0,1.837169511540765
2014-07-24,277044480.0,347622431.0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2,4,0,0,10,10,3,2,3,279071879.5,279518934.5625,143362755.0,418742109.0,0.1427875580367913
2014-07-25,181641088.0,262874791.0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1,5,0,0,10,10,2,3,2,256119260.5,261547268.625,121222064.0,399444352.0,0.3599466065768336
2014-07-26,128268053.0,282653341.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0,0,2,1,10,10,1,4,1,154937075.5,178033766.625,123295320.0,283400236.0,1.2050585911620415
2014-07-27,151406251.0,166610652.0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,1.0,0,0,1,2,10,10,0,5,0,176698779.0,203124083.1875,116623756.0,413222034.0,1.7527996136068529
2014-07-28,371762756.0,345986909.0,0,0,0,0,0,1,0,0,0,1,1.0,0.0,0.0,0.0,0.0,5,1,0,0,10,10,6,1,6,309330781.0,331124278.1764706,170409506.0,492349489.0,0.0386980600632763
